model_id,layer_index,n_layers,relative_depth,r2_b,beta,s,r2_eps
HuggingFaceTB/SmolLM3-3B,20,36,0.4444444444444444,0.411447832384116,-0.022977020418431544,0.021108535982304028,0.4981308505791129
HuggingFaceTB/SmolLM3-3B,19,36,0.4722222222222222,0.4117153586907276,-0.02518412742148376,0.021108535982304028,0.5007098684959039
HuggingFaceTB/SmolLM3-3B,18,36,0.5,0.38238871880971725,-0.025362057106628852,0.021108535982304028,0.47919107995771537
HuggingFaceTB/SmolLM3-3B,17,36,0.5277777777777778,0.36942654794393126,-0.025488536905473366,0.021108535982304028,0.5049496915821781
HuggingFaceTB/SmolLM3-3B,16,36,0.5555555555555556,0.37759535759800944,-0.025250803699800345,0.021108535982304028,0.5440432733084088
HuggingFaceTB/SmolLM3-3B,15,36,0.5833333333333334,0.3444873405431256,-0.025474573490906968,0.021108535982304028,0.5499251313667569
HuggingFaceTB/SmolLM3-3B,14,36,0.6111111111111112,0.3273762120812337,-0.025603914674218988,0.021108535982304028,0.5026075964802725
HuggingFaceTB/SmolLM3-3B,13,36,0.6388888888888888,0.2821527906360064,-0.02567323664313087,0.021108535982304028,0.4806639644334263
HuggingFaceTB/SmolLM3-3B,12,36,0.6666666666666666,0.3052444592541944,-0.025759562929653486,0.021108535982304028,0.4915053792670323
HuggingFaceTB/SmolLM3-3B,11,36,0.6944444444444444,0.27819081926227573,-0.029933633186934837,0.021108535982304028,0.48415212268062513
HuggingFaceTB/SmolLM3-3B,10,36,0.7222222222222222,0.25321751638199796,-0.026270030100576526,0.021108535982304028,0.4754604579492633
HuggingFaceTB/SmolLM3-3B,9,36,0.75,0.22978518616842247,-0.030751005688238197,0.021108535982304028,0.46901033100908496
HuggingFaceTB/SmolLM3-3B,8,36,0.7777777777777778,0.2558985738322216,-0.02640307717954353,0.021108535982304028,0.47221849289165463
HuggingFaceTB/SmolLM3-3B,7,36,0.8055555555555556,0.22213200312062453,-0.031081289310940275,0.021108535982304028,0.4821513365849647
HuggingFaceTB/SmolLM3-3B,6,36,0.8333333333333334,0.25297507721696466,-0.031063021189656988,0.021108535982304028,0.47928131513590566
HuggingFaceTB/SmolLM3-3B,5,36,0.8611111111111112,0.24666321120328427,-0.031035656092806122,0.021108535982304028,0.49151845975702657
